published_path,title,slug,page_type,destination,draft,archived,seo_title,seo_description,og_title,og_description,og_title_copies_seo,og_description_copies_seo,og_image_url,json_ld,page_id,collection_id
/leeds,*KILL [Events] Leeds,leeds,Static,REVIEW - unclassified,true,false,Adfin x Leeds | Join Our Free Practice Accelerator Lunch or Meet Us!,"We're in Leeds 24-27th February. If you're keen to see why 1,000+ leading accountants have switched to Adfin, let's meet. ",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,697b85f3f0e1467068cf35bd,
/legal-firms,Legal Firms,legal-firms,Static,CMS item -> Customers,true,false,Adfin | Automated invoice chasing software for legal firms,"Adfin’s automated invoice chasing software helps legal firms track overdue payments, send reminders, and ensure faster client billing with less effort.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6840567bce2f9c2e933615f1_opengraphs.png,,66c6aa2b7cbda3e816de5abb,
/legal/dpa,[Legal] DPA,dpa,Static,CMS item -> Legal,false,false,[Legal] DPA,,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,6a7dc9b75b96ea9093eb7474,
/legal/msa-v1,[Legal] Terms of Service,msa-v1,Static,CMS item -> Legal,false,false,Adfin | Terms of Service,,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,66fb5849184667021bcac7c1,
/legal/msa-v2,[Legal] MSA v2,msa-v2,Static,CMS item -> Legal,false,false,MSA v2,,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,6a8358a5dd7edb10195a5965,
/managed-service-providers,Managed Service Providers - Adfin,managed-service-providers,Static,CMS item -> Customers,false,false,Managed Service Providers - Adfin,Late payments are a cashflow problem. Adfin automates all the workflows your finance team uses to get paid — reducing DSO and releasing working capital.,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,6a34fc17e22db33d6eba6897,
/menu-dropdown-integrations,Menu Dropdown - Integrations Template,detail_menu-dropdown-integrations,CMS template,REVIEW - nav helper collection,false,false,,,,,false,false,,,68c17d393d220e4f42f764d9,68c17d393d220e4f42f764b1
/menu-dropdown-resources,Menu Dropdown – Resources Template,detail_menu-dropdown-resources,CMS template,REVIEW - nav helper collection,false,false,,,,,false,false,,,683763a6a85f3ec8cb224b03,683763a6a85f3ec8cb224afe
/open-positions,Open Positions Template,detail_open-positions,CMS template,Open Positions,false,false,Adfin | Open positions,"{{wf {&quot;path&quot;:&quot;position-description&quot;,&quot;type&quot;:&quot;PlainText&quot;\} }}",,,true,true,,,67b54c64780cdc31b89eb98d,67b54c64780cdc31b89eb974
/outsourced-credit-control,Outsourced credit control,outsourced-credit-control,Static,REVIEW - unclassified,true,false,Outsourced credit control,"Sort payments. Deliver more than numbers. The only platform that fully automates getting paid: for your practice, and as a new service for your clients.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6840567bce2f9c2e933615f1_opengraphs.png,,69cbca1e6f8b495ec6772cb2,
/platforms,Platforms,platforms,Static,CMS item -> Customers,true,false,Adfin | Platforms,Payments is not a differentiator. So don’t spend time on it. Spend your precious development time on the things that make your platform unique. Our market-first agentic integrations give you payments revenue for no effort.,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,66c6aaed83705ec21d931009,
/playbook-credit-control-for-accountants,[Content] Credit Control for Accountants | Download,playbook-credit-control-for-accountants,Static,CMS item -> Downloads,false,false,Credit Control for Accountants | Download Playbook,"Help your clients get paid. This playbook covers how to identify the right clients, how to price it, how to set clients up efficiently, and how to manage the service day-to-day.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,69e9de08622d719c96c99c20,
/post,Blog posts Template,detail_post,CMS template,Blogs,false,false,"Adfin | {{wf {&quot;path&quot;:&quot;name&quot;,&quot;type&quot;:&quot;PlainText&quot;\} }}","{{wf {&quot;path&quot;:&quot;summary&quot;,&quot;type&quot;:&quot;PlainText&quot;\} }}",,,true,true,"{{wf {&quot;path&quot;:&quot;blog-image&quot;,&quot;type&quot;:&quot;ImageRef&quot;\} }}",,663944fa2e27d9fbcc5195ad,663944fa2e27d9fbcc5195a0
/pricing,Pricing,pricing,Static,Stays static,false,false,Adfin | Pricing,"Adfin offers simple, transparent pricing with no monthly fees or hidden costs. Pay per transaction and enjoy fair, upfront pricing for all payments.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,66b0df187484451769e34c3b,
/pricing-calculator,[Commercial] Pricing Calculator,pricing-calculator,Static,Stays static,false,false,See How Much You Could Save by Switching to Adfin | Just Get Paid,"Every month, hundreds of businessses switch to Adfin. Why? Cheaper direct debit, multiple payment methods, and AI-powered credit control. Calculate savings now.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,698d9c388c875ef6efb11990,
/privacy-policy,[Legal] Privacy Policy,privacy-policy,Static,CMS item -> Legal,false,false,Adfin | Privacy Policy,,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,663bd4d331acd5999711a269,
/referral,Referrals Template,detail_referral,CMS template,"REVIEW - Referrals, 5225 live items with no home on staging",false,false,"Adfin | {{wf {&quot;path&quot;:&quot;company-name&quot;,&quot;type&quot;:&quot;PlainText&quot;\} }}","Adfin and {{wf {&quot;path&quot;:&quot;company-name&quot;,&quot;type&quot;:&quot;PlainText&quot;\} }} are working together to help businesses Just Get Paid with Adfin.",,,true,true,,,682b110c7340f3849ff37bf0,682b110c7340f3849ff37be9
/scaling-businesses,Large businesses,scaling-businesses,Static,CMS item -> Customers,false,false,Adfin | Helping Fast-Growing Businesses Improve Cashflow,Late payments are a cashflow problem. Adfin automates all the workflows your finance team uses to get paid — reducing DSO and releasing working capital.,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,69fdb0c74314e618441880c0,
/scaling-businesses-demo,[Commercial] Book a call with Adfin,scaling-businesses-demo,Static,REVIEW - unclassified,false,false,Book a call with Adfin,"Late payments are a cashflow problem. Adfin automates all the workflows your finance team uses to get paid — reducing DSO, releasing working capital, and cutting your reliance on credit lines.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,6a01fb2c9f5a0b5e6fc8e4fc,
/security,[Resources] Security,security,Static,Stays static,false,false,Adfin | Security,"Adfin ensures secure payments with FCA-approved partners, encryption, and real-time fraud monitoring. Protect transactions with enterprise-grade security.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,663934655d85cd55b237718d,
/services,[Legal] Services,services,Static,REVIEW - unclassified,false,false,Adfin | Services,,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,67896b9384392c06d3ddf337,
/style-guide,Style Guide,style-guide,System,"System page - rebuild, no content port",true,false,Style Guide,,,,true,true,,,663608d6085a91363816e123,
/tea-party,[Events] Tea party,tea-party,Static,REVIEW - unclassified,false,false,Adfin | Tea party,Let us pour you a cuppa. We’re hitting the road and visiting accounting firms across the UK. We’d love to meet your team over a cup of tea and biscuits. Book your visit now and we’ll park up in your carpark!,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,682dd47c7f5e22217a30e3b1,
/terms-and-conditions,[Legal] Website Terms,terms-and-conditions,Static,CMS item -> Legal,false,false,Adfin | Terms & Conditions,,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,66393867cd6433a2bd28768c,
